subregion_key,xmin,ymin,xmax,ymax
AK,167.60000568384064,47.84999918851563,229.30000777628075,82.49999860088903
USA,167.60000568384064,24.199999589594107,275.40000933967605,82.49999860088901
PA,229.40000777967208,30.499999482752905,242.85000823580367,41.999999287725316
GA,262.750008910675,24.199999589594107,275.40000933967605,30.199999487840582
