sp_cat,sp_key,scientific_name_dataset,common_name_dataset,worms_id,gbif_id,redlist_code,rl_score,suitability,suit_rl,pct_total
mollusk,W-Msc-532317,Acanthochitona spiculosa,glass-haired chiton,532317,NA,NA,NA,40.15300276570525,NA,NA
mollusk,W-Msc-386528,Acanthochitona zebra,NA,1353859,NA,NA,NA,28.01777127325946,NA,NA
other,W-Gtr-114618,Acanthodasys aculeatus,NA,114618,NA,NA,NA,45.225004117937736,NA,NA
mollusk,W-Msc-140627,Acanthodoris pilosa,hairy spiny doris,140627,NA,NA,NA,27.453725162741556,NA,NA
other,W-Oct-177735,Acanthogorgia aspera,NA,177735,NA,NA,NA,51.95899515602118,NA,NA
crustacean,W-Amp-158014,Acanthohaustorius intermedius,NA,158014,NA,NA,NA,30.126019224395094,NA,NA
crustacean,W-Amp-158015,Acanthohaustorius millsi,NA,158015,NA,NA,NA,41.08365777229133,NA,NA
crustacean,W-Amp-345319,Acanthohaustorius pansus,NA,345319,NA,NA,NA,34.891796279353464,NA,NA
crustacean,W-Amp-345320,Acanthohaustorius shoemakeri,NA,345320,NA,NA,NA,33.660041114135154,NA,NA
crustacean,W-Amp-345323,Acanthohaustorius uncinus,NA,345323,NA,NA,NA,38.80011716461629,NA,NA
crustacean,ITS-97921,Acantholithodes hispidus,fuzzy crab,590103,NA,NA,NA,48.69134406739483,NA,NA
crustacean,W-Bch-422072,Acantholobulus bermudensis,strongtooth mud crab,422072,NA,NA,NA,46.03851755947564,NA,NA
fish,Fis-24399,Acantholumpenus mackayi,Pighead prickleback,249703,NA,NA,NA,71.85429218350069,NA,NA
crustacean,W-Bch-421940,Acanthonyx petiverii,jacknife spider crab,421940,NA,NA,NA,45.859474691620584,NA,NA
other,SLB-140012,Acanthophora spicifera,Erect sea moss,NA,NA,NA,NA,42.26802570000793,NA,NA
fish,Fis-51707,Acanthoplesiops hiatti,Hiatt's basslet,276756,NA,NA,NA,19.69020172910663,NA,NA
mollusk,W-Msc-211919,Acanthopleura gemmata,northern spined chiton,211919,NA,NA,NA,19.18694587520054,NA,NA
mollusk,W-Msc-386270,Acanthopleura granulata,West Indian fuzzy chiton,386270,NA,NA,NA,42.789372150122766,NA,NA
mollusk,W-Msc-211920,Acanthopleura spinosa,spinose chiton,211920,NA,NA,NA,7.356636271529888,NA,NA
crustacean,SLB-101871,Acanthosquilla acanthocarpus,NA,409061,NA,NA,NA,28.818443804034583,NA,NA
crustacean,SLB-101364,Acanthosquilla derijardi,NA,220299,NA,NA,NA,31.979387961557915,NA,NA
crustacean,ITS-682565,Acanthosquilla multifasciata,mantis shrimps,220300,NA,NA,NA,18.78728185680677,NA,NA
crustacean,W-Amp-102864,Acanthostepheia malmgreni,NA,102864,NA,NA,NA,32.763192932441534,NA,NA
mollusk,SLB-111985,Acar domingensis,white miniature ark,420709,NA,NA,NA,44.722076713650615,NA,NA
mollusk,W-Msc-215258,Acar plicata,NA,215258,NA,NA,NA,30.64196478062508,NA,NA
other,W-Por-167343,Acarnus erithacus,red volcano sponge,167343,NA,NA,NA,53.42654342408278,NA,NA
